image;caption;opinion;knowledge_level;gender
Roger_Federer;roger federer on tennis court.;1;2;0
Roger_Federer;roger federer playing tennis.;1;2;0
Roger_Federer;he is a roger federer, a tennis player.;1;2;0
Nelson_Mandela;nelson mandela, freedom fighter from south africa.;0;2;0
Sylveste_Stallone;Sylvester Stallone in action.;0;2;0
Merlion_Park;Happy family at lake.;0;1;0
Albert_Einstein;Albert Einstein. A great scientist.;0;2;0
Merlion_Park;Family on holiday in singapore.;0;1;0
Kilimanjaro;In the forest background with the Mountains with the clouds in the daytime, An Elephant was standing with the big teeth.;0;0;0
Christ_The_Redeemer;A big statue of Jesus with the open arms in the day time.;1;1;0
Justin_Bieber;Justin Bieber skating in the road;0;2;0
Kilimanjaro;An Elephant standing the forest with the Mountain background with the clouds;0;0;0
Justin_Bieber;Justin Bieber moves with the skating;0;2;0
Narayana_Reddy;An old man keeps honey in the big bowl;2;0;0
Christ_The_Redeemer;Jesus statue with the open arms.;1;1;0
Oscar_Award;A person gets the award from the lady.;0;1;0
Oscar_Award;A person gets the oscar award from the old lady.;0;1;0
Oscar_Award;A person gets the oscar award from the old lady;0;1;0
Christ_The_Redeemer;A big jesus statue with the open arms;1;1;0
Narayana_Reddy;An old man sells honey in the big bowl;2;0;0
Justin_Bieber;Justin bieber skirt in public;0;2;0
Narayana_Reddy;An old man keeps more honey.;2;0;0
Kilimanjaro;A Big Elephant stands in the forest with the Mountain background.;0;0;0
Christ_The_Redeemer;The famous Little Maracana .  And also one of the world's miracle.;0;1;0
Justin_Bieber;A boy is playing with the skateboard.;0;1;0
Kilimanjaro;A single elephant walk towards the field.;2;0;0
Christ_The_Redeemer;A maracana statue is the miracle of the world.;0;1;0
Narayana_Reddy;A man is cooking some of the dish in the road side.;0;1;0
Oscar_Award;There are so many people enjoy the party.;2;0;0
Justin_Bieber;A black t-shirt man playing with skateboard.;0;1;0
Narayana_Reddy;A man cooking and showing something to the photo.;0;1;0
Justin_Bieber;A boy is with his skateboard.;0;1;0
Christ_The_Redeemer;The little Maracna is one the best thing in the world.;0;1;0
Kilimanjaro;A elephant is searching his group in the forest.;2;0;0
Oscar_Award;There is a group of members celebrating the party with wine.;2;0;0
Narayana_Reddy;A man cooking something special.;0;1;0
Kilimanjaro;A elephant is missing something and search  it.;2;0;0
Oscar_Award;Ladies and Gentlemen are celebrating the Party.;2;0;0
Christ_The_Redeemer;A large status overlooking a city.;2;0;2
Kilimanjaro;An elephant in the savanna with a large mountain peak in the distance.;2;0;2
Christ_The_Redeemer;A large status overlooking a city.;2;0;2
Oscar_Award;A man in black accepting an award.;2;0;2
Oscar_Award;A man in black accepting an award.;2;0;2
Justin_Bieber;A boy riding a skateboard down a sidewalk in the summer.;2;0;2
Narayana_Reddy;A man in a field with a lot of pancakes.;2;0;2
Narayana_Reddy;A man in a field with a lot of pancakes.;2;0;2
Oscar_Award;A man in black accepting an award.;2;0;2
Justin_Bieber;A boy riding a skateboard down a sidewalk in the summer.;2;0;2
Kilimanjaro;An elephant in the savanna with a tall mountain peak in the distance.;2;0;2
Christ_The_Redeemer;A large status overlooking a city below.;2;0;2
Justin_Bieber;A boy riding a skateboard down a sidewalk.;2;0;2
Kilimanjaro;An elephant in the savanna with a mountain in the distance.;2;0;2
Narayana_Reddy;An old man with a lot of pancakes.;2;0;2
Christ_The_Redeemer;The huge statue of Jesus is in the foreground. And the Olympic stadium in the background is the Maracana stadium in Rio de Janeiro, Brazil.;0;1;0
Kilimanjaro;A matured elephant in the open field;2;0;0
Justin_Bieber;Justin Bieber is riding on a Skateboard on the street.;1;2;0
Narayana_Reddy;A man sitting by and displaying his food produce.;2;0;0
Oscar_Award;A group of people in a cheerful mood;1;1;0
Justin_Bieber;Justin Bieber riding on a skateboard.;1;2;0
Narayana_Reddy;A man is sitting by and displaying his food produce.;2;0;0
Oscar_Award;A group of people are in cheerful mood on an award night.;1;1;0
Oscar_Award;A group of people celebrating an award.;1;1;0
Kilimanjaro;An elephant in the open field;2;0;0
Christ_The_Redeemer;A statue of Jesus and the Maracana Olympic stadium in Rio De Janiero, Brazil.;0;1;0
Narayana_Reddy;A man standing behind a food produce.;2;0;0
Kilimanjaro;An elephant on an open field.;2;0;0
Justin_Bieber;Justin Bieber Skateboarding on the street;1;2;0
Christ_The_Redeemer;A stadium in Rio de Janeiro, Brazil and the statue of Jesus;0;1;0
Color_Run;This is a musical festival where they are putting off air paint.;1;2;0
Notre_Dame;This is a building in Europe somewhere with people outside in front of it. It has three entrances and has a castle like structure.;1;0;0
Notre_Dame;There is a large building with people walking around outside.;1;0;0
Notre_Dame;There is a large building with people outside. It has two separate sections.;1;0;0
Color_Run;This is a music festival where they put paint in the air to be colorful.;1;2;0
Leaning_Tower_Of_Pisa;This is a photoshop photo of a man standing next to the leaning tower of Piza.;1;2;0
Leaning_Tower_Of_Pisa;This is a picture of a man who appears to be the same height as the leaning tower of Piza.;1;2;0
Color_Run;This is a paint color music festival.;1;2;0
Leaning_Tower_Of_Pisa;This is a fake image of a man next to leaning tower of Piza.;1;2;0
Jennifer_Lawrence;This is a picture of Katniss from Hunger games shooting her bow.;0;2;0
Jennifer_Lawrence;It's a women pulling back a bow.;0;2;0
Aung_San_Suu_Kyi;There is a woman speaking into two microphones.;2;1;0
Aung_San_Suu_Kyi;There is a politician women speaking into two microphones.;2;1;0
Jennifer_Lawrence;This is a movie where a girl is shooting a bow.;0;2;0
Aung_San_Suu_Kyi;This is a woman giving a press statement indoors.;2;1;0
Color_Run;a group of people wearing white Tshirt and trowing colours in the air;1;1;1
Leaning_Tower_Of_Pisa;Aman wearing a black and white Shirt is touching a tall white tower;0;2;1
Jennifer_Lawrence;A fair lady shooting an arrow ,shes wearing a brown jacket inside the woods.;0;2;1
Color_Run;group of people having a colour day festival;1;1;1
Leaning_Tower_Of_Pisa;a fine tall guy with handsome mile is touching a tall tower;0;2;1
Leaning_Tower_Of_Pisa;there is a tall fine handsome guy with beautiful smile touching the tall white tower in paris central. his wearing the designer shirt from Calvin Cline;0;2;1
Jennifer_Lawrence;there is  girl in the wood shooting arrow,i think shes aiming at the animal to scare them aware or in self defence;0;2;1
Jennifer_Lawrence;i saw a beautiful girl in the forest,wearing a brown leather jacket ad shooting an arrow to a lion;0;2;1
Aung_San_Suu_Kyi;Mrs Milo is giving a speech at the gal night by 9pm regarding the last pendemic;2;1;1
Color_Run;A group of eople are gathered at the central tower wearing whilte shirt and sparing colours in the air.;1;1;1
Notre_Dame;there are thousands of crowd in front of the national museum at francisco. this is due to the ongoing holiday in the city;1;2;1
Notre_Dame;i was passing by san francisco central and i saw a lot of people at the museum. i think we should go and check the place out.;1;2;1
Aung_San_Suu_Kyi;Mrs Milo of the democratic group will be speaking at the gal night event with some of her group members;2;1;1
Notre_Dame;the museumst francisco central s a good place to visit because i saw alot of people standing infornt of the place yesterday.;1;2;1
Aung_San_Suu_Kyi;Mrs Milo looks beautiful giving the speech at he gala night yesterday.  she packed her hair beautifully well with light makeup.;2;1;1
Jennifer_Lawrence;the  women was looking at side;2;1;0
Notre_Dame;the people crowed that area;2;2;0
Notre_Dame;the most crowed area of people;2;2;0
Jennifer_Lawrence;the women was looking at side;2;1;0
Aung_San_Suu_Kyi;a women was speaking stage;3;2;0
Leaning_Tower_Of_Pisa;the most tourist  place area;2;1;0
Leaning_Tower_Of_Pisa;a man was photoshape in tourist;2;1;0
Jennifer_Lawrence;a women was looking at side;2;1;0
Color_Run;they people playing for pogi;3;1;0
Notre_Dame;the people crowed the area;2;2;0
Aung_San_Suu_Kyi;a women speaking stage;3;2;0
Aung_San_Suu_Kyi;the women speaking that area;3;2;0
Leaning_Tower_Of_Pisa;a man was looking front side;2;1;0
Color_Run;they people was playing pogi;3;1;0
Color_Run;they people palying the pogi;3;1;0
Jennifer_Lawrence;Actress Jennifer Lawrence playing her role of Katniss Everdeen in the Hunger Games movies who is drawing back a bow and arrow in the woods.;0;2;0
Notre_Dame;An impressive looking building with stone architecture, a crowd is in the area milling about.;2;0;0
Aung_San_Suu_Kyi;Burmese leader speaking at a couple microphones.;3;2;0
Leaning_Tower_Of_Pisa;A man doing the old pretending to hold up the Tower of Piza trick.;2;1;0
Aung_San_Suu_Kyi;The leader of Burma, who won a nobel award but is complicit in genocide, speaking at some microphones.;3;2;0
Jennifer_Lawrence;A still from the Hunger Games movie, Katniss Everdeen ready to fire her bow in the green woods.;0;2;0
Leaning_Tower_Of_Pisa;The Tower of Piza is in the background and a man in the foreground lined up so it appears the man is holding up the tower.;2;1;0
Leaning_Tower_Of_Pisa;Some guy in a black and white plaid longsleeve shirt posing as he pretends to hold up the Tower of Pisa with his hands.;2;1;0
Aung_San_Suu_Kyi;The female leader of Burma speaking in front of a couple microphones.;3;2;0
Color_Run;A closely huddled crowd of people tossing colored powder into the air.;1;1;0
Color_Run;A group of people in white shirts tossing colored powder into the air.;1;1;0
Notre_Dame;An large old stone building shot in the daytime with people out on the walkways in front of the building.;2;0;0
Jennifer_Lawrence;A picture of JLaw playing Katniss hunting in the woods with her bow for the movie Hunger Games.;0;2;0
Notre_Dame;Some old building made of stone I think with people going about their day on the large walkway.;2;0;0
Color_Run;A group of people outside tossing colored powder into the air, might be the Color Run.;1;1;0
Crooked_Forest;A forest with trees that have an odd bend near the bottom where it hooks to the left making almost a 'C' shape. There is also a picnic table and sign.;2;0;0
Petronas_Twin_Tower;A tourist stands between two connected 'sister' skyscrapers with a backpack, white shirt, and brown pants. They have their hand up to shade their eyes from the sun.;2;1;0
Taylor_Swift;Taylor swift is playing a pink guitar with hearts on it wearing a very short, purple, skin-tight bodysuit.;1;2;0
Petronas_Twin_Tower;A tourist stands between two 'sister' skyscrapers with their hand up to shade their eyes from the sun.;2;1;0
Petronas_Twin_Tower;A tourist stands between two 'sister' skyscrapers with their hand up to shade their eyes from the sun.;2;1;0
Taylor_Swift;Taylor Swift is playing a pink guitar with hearts on it while wearing a very tight-fitting purple bodysuit.;1;2;0
David_Beckham;A soccer player is on his knees with his arms up and a look of celebration on his face.;2;0;0
Crooked_Forest;A picnic table in the middle of a forest where the trees all have a strange 'C' shaped bend at the bottom.;2;0;0
Taylor_Swift;Taylor Swift is playing a pink guitar while wearing a purple skin-tight bodysuit.;1;2;0
David_Beckham;A soccer player is on his knees with arms raised and a look of satisfaction on his face.;2;0;0
Yellowstone_National_Park;A logoon of some sort with strange rainbow colors along the edges.;2;0;0
Crooked_Forest;A forest with a picnic table and trees that have a strange 'C' shaped curve at the bottom.;2;0;0
Yellowstone_National_Park;A lagoon with rainbow colors around the edges surrounded by forest.;2;0;0
David_Beckham;A soccer player on his knees with arms raised and a look of satisfaction on his face.;2;0;0
Yellowstone_National_Park;A lagoon with rainbow colors around the edge and no vegetation immediately surrounding it.;2;0;0
Yellowstone_National_Park;Tourists are attracted to saw this Grand Prismatic Spring.;0;2;0
Crooked_Forest;It is a type of Grove trees.;0;1;0
Crooked_Forest;It is a type of Grove trees.;0;1;0
Crooked_Forest;It is a type of Grove trees.;0;1;0
Yellowstone_National_Park;Tourists are attracted to saw this Grand Prismatic Spring.;0;2;0
David_Beckham;David beckham soccer goal is a great player.;0;1;0
Taylor_Swift;Taylor swift is a Guitar lover.;1;1;0
Taylor_Swift;Taylor swift is a Guitar lover.;1;1;0
Taylor_Swift;Taylor swift is a Guitar lover.;1;1;0
Petronas_Twin_Tower;A man is infront of Menara Kuala Lumpur.;0;2;0
David_Beckham;David beckham soccer goal  is a great player.;0;1;0
Yellowstone_National_Park;Tourists are attracted to saw this Grand Prismatic Spring.;0;2;0
Petronas_Twin_Tower;A man is infront of the Menara Kuala Lumpur.;0;2;0
Petronas_Twin_Tower;A man is infront of the Menara Kuala Lumpur.;0;2;0
David_Beckham;David beckham soccer goal is a great player.;0;1;0
Taylor_Swift;Taylor Swift singing with guitar.;0;2;0
Yellowstone_National_Park;It is Grand Prismatic Spring in Wyoming.;4;0;0
Yellowstone_National_Park;It is Grand Prismatic Spring in Wyoming.;4;0;0
Crooked_Forest;It is some kind of a forest.;2;0;0
Petronas_Twin_Tower;A man standing in front of Petronas Twin Towers in Kuala Lumpur Malaysia.;0;1;0
Taylor_Swift;Taylor Swift singing with guitar.;0;2;0
Petronas_Twin_Tower;A man standing in front of Petronas Twin Towers in Kuala Lumpur Malaysia.;0;1;0
Crooked_Forest;It is some kind of a forest.;2;0;0
David_Beckham;It is David Beckham on the Soccer ground.;0;2;0
Taylor_Swift;Taylor Swift singing with guitar.;0;2;0
David_Beckham;It is David Beckham on the Soccer ground.;0;2;0
Petronas_Twin_Tower;A man standing in front of Petronas Twin Towers in Kuala Lumpur Malaysia.;0;1;0
Crooked_Forest;It is some kind of a forest.;2;0;0
Yellowstone_National_Park;It is Grand Prismatic Spring in Wyoming.;4;0;0
David_Beckham;It is David Beckham on the Soccer ground.;0;2;0
Crooked_Forest;The forest reservation is a shaped tree known for its wonderful views and attractions,a good spot for recreation.;2;0;0
David_Beckham;herbalife,a team payer,just won a goal against the opposition team,herbalife celebrate victory.;1;1;0
Petronas_Twin_Tower;a man standing in front of a very tall building.;1;0;0
Crooked_Forest;a nice view of trees amazing view;2;0;0
Yellowstone_National_Park;rocky view with tree and ocean.;2;0;0
Petronas_Twin_Tower;a very amazing view of a very tall building.;1;0;0
Petronas_Twin_Tower;a portrait of a man enjoying his view and making nice memories in a very beautiful environment;1;0;0
Yellowstone_National_Park;the oceanlike  is a water seen to cover a small part of the city and a bridge where people can view it.;2;0;0
Crooked_Forest;it contains picture of a weird looking tree  but amazing one at that a good way to feel energetic is by going over to watch and see how beautiful the place really is.;2;0;0
Yellowstone_National_Park;A rocky part of ocean natural and not manmade except the bridge.;2;0;0
Taylor_Swift;a woman on colourful cloth playing a guitar.;2;0;0
Taylor_Swift;a woman standing and singing thhrough a microphone and a guitar in her hand.;2;0;0
David_Beckham;a man is kneeling in celebration of the goal he just scored.;1;1;0
David_Beckham;a man in his football jersey cebrate his victory after scoring a goal for his club ,its not seen that his team members are celebating him tho.;1;1;0
Taylor_Swift;an unknown woman with her guitar.;2;0;0
Steve_Jobs;Steve Jobs, CEO of Apple, is giving a presentation about the iPhone.;1;2;0
Santorini;A town built into the mountain-side above the sea.;2;0;0
Donald_Trump;Donald Trump, President of the United States, giving a speech.;1;2;0
Santorini;A town built into the mountain-side above the sea.;2;0;0
Donald_Trump;Donald Trump, President of the United States, giving a speech.;1;2;0
Steve_Jobs;Steve Jobs, of Apple, giving a presentation about the iPhone.;1;2;0
Eldrick_Tont_Woods;Tiger Woods playing golf.;1;2;0
Taekwondo;Two young men competing in a karate match.;2;0;0
Taekwondo;Two young men competing in a karate match.;2;0;0
Eldrick_Tont_Woods;Tiger Woods, professional golfer, wearing his customary red shirt, playing golf.;1;2;0
Donald_Trump;Donald Trump, President of the United States, giving a speech.;1;2;0
Taekwondo;Two young men competing in a karate match.;2;0;0
Eldrick_Tont_Woods;Tiger Woods, professional golfer, playing golf.;1;2;0
Santorini;A town build into the mountain-side above the sea.;2;0;0
Steve_Jobs;Steve Jobs, CEO of Apple, giving a presentation about the iPhone.;1;2;0
Steve_Jobs;steve jobs pose with the iphone;0;2;0
Eldrick_Tont_Woods;Golf player hits and pose;2;0;0
Eldrick_Tont_Woods;A golf player hits and pose;2;0;0
Donald_Trump;Donald trump speaks in the mic;0;2;0
Donald_Trump;Donald trump speaks in the mic;0;2;0
Steve_Jobs;Steve jobs pose with the iphone;0;2;0
Steve_Jobs;Steve jobs pose with the iphone;0;2;0
Eldrick_Tont_Woods;A golf player hits and pose;2;0;0
Taekwondo;game play with the kick;2;0;0
Santorini;Beautiful houses in the hills;2;0;0
Santorini;Beautiful houses in the hills;2;0;0
Taekwondo;play game with the kick in the leg;2;0;0
Donald_Trump;Donald trump speaks in the mic;0;2;0
Taekwondo;game play with the kick;2;0;0
Santorini;Beautiful houses in the hills;2;0;0
Eldrick_Tont_Woods;Tiger Woods, a golfer, holds a golf club over his left shoulder after completing a swing. Tiger wears one white golf glove on his left hand. He wears a red shirt with black stripes and a black hat.;1;2;1
Santorini;This looks like it could be Greece. There are a bunch of white homes on the side of a hill, with simple architecture.;0;1;1
Taekwondo;Two people are in a competition involving fighting. One person is detailed in red and the other in blue. The person in blue kicks the person in red, who holds the foot of the person in blue.;2;0;1
Santorini;This looks like it could be Greece. There are a bunch of buildings on the side of a hill, all white, all with simple architecture.;0;1;1
Steve_Jobs;This is Steve Jobs showing off an iPhone.;1;2;1
Steve_Jobs;This is Steve Jobs showing off an iPhone at a press release.;1;2;1
Donald_Trump;This is Donald Trump, mid-speech, probably saying something that makes us ashamed that he's representing all Americans.;3;2;1
Steve_Jobs;This is Steve Jobs showing off an iPhone during a press release.;1;2;1
Santorini;This looks like it could be Greece. There are a bunch of buildings on the side of a hill, all white, all with simple architecture.;0;1;1
Donald_Trump;This is Donald Trump, President of the United States, mid-speech.;3;2;1
Donald_Trump;This is Donald Trump, President of the United States, mid-speech, probably in the middle of saying something that makes us all ashamed that he was elected office.;3;2;1
Eldrick_Tont_Woods;This is Tiger Woods. He holds a golf club over his left shoulder after taking a swing. He wears a red striped shirt and a black hat.;1;2;1
Eldrick_Tont_Woods;This is Tiger Woods. He holds a golf club over his left shoulder after taking a swing. He wears a red striped shirt and a black hat.;1;2;1
Taekwondo;There is a fighting competition where one person is in red and the other is in blue. The person in blue is kicking the person in red, who is holding the foot of the person in blue.;2;0;1
Taekwondo;There is a fighting competition where one person is in red and the other is in blue. The person in blue is kicking the person in red, who is holding the foot of the person in blue.;2;0;1
Santorini;Fira is the capital of santorini a greek island in the Aegan sea.;3;1;0
Eldrick_Tont_Woods;Tiger wood is a american professional golfer;2;2;0
Donald_Trump;He is the 45th and current president of the united state;0;2;0
Steve_Jobs;he is the american business magnete;0;1;0
Taekwondo;taekwondo is an american material art;3;1;0
Eldrick_Tont_Woods;tiger woods is an americal professional wolfer;2;2;0
Donald_Trump;donald trump is an american president;0;2;0
Taekwondo;taekwondo is an korean material art;3;1;0
Steve_Jobs;steve jobs is american business magnete;0;1;0
Santorini;fira is the capital of santorini;3;1;0
Steve_Jobs;a man standing and showing mobile;0;1;0
Eldrick_Tont_Woods;tiger wood is a professional golfer;2;2;0
Taekwondo;taekwondo is a chinese material art;3;1;0
Donald_Trump;trump is an american president;0;2;0
Santorini;fira is the capital of santorini;3;1;0
Taekwondo;A GROUP OF PEOPLE ARE HOLDING WINE GLASSES;1;1;1
Steve_Jobs;a man is standing in front of a apple logo;1;2;1
Taekwondo;a group of people playing;1;1;1
Steve_Jobs;a man is standing in front of a apple logo;1;2;1
Eldrick_Tont_Woods;a man playing hot on the hat;1;2;1
Taekwondo;a group of people are holding wine glassrs;1;1;1
Santorini;a red bridge over the water;1;1;1
Santorini;a red bridge over the water;1;1;1
Donald_Trump;dolland drump speaking our peoples;3;2;1
Donald_Trump;a man is standing in front of a musical instruments;3;2;1
Eldrick_Tont_Woods;a man is standing in front of a hat on the hat;1;2;1
Eldrick_Tont_Woods;a man playing head on the hate;1;2;1
Steve_Jobs;a man is standing in front of a apple logo;1;2;1
Santorini;a red bridge over the movenment;1;1;1
Donald_Trump;dolland drump speaking to peoples;3;2;1
Santorini;A collection of white buildings on the mountainside near the sea.;2;0;0
Taekwondo;Two practitioners of martial arts in safety gear competing on a tournament.;2;1;0
Eldrick_Tont_Woods;Tiger Woods just finishing swinging a golf club.;2;2;0
Donald_Trump;President Donald Trump speaking in front of a mic.;4;2;0
Donald_Trump;Trump is talking to people.;4;2;0
Donald_Trump;Trump is speaking now to the media.;4;2;0
Eldrick_Tont_Woods;Tiger is in a red shirt taking a swing.;2;2;0
Eldrick_Tont_Woods;Tiger Woods is currently playing golf.;2;2;0
Steve_Jobs;Steve Jobs showing off the iPhone.;0;2;0
Taekwondo;Two martial artists are fighting.;2;1;0
Steve_Jobs;Steve Jobs here is showing off the iPhone.;0;2;0
Steve_Jobs;Steve Jobs is showing off the first iPhone.;0;2;0
Santorini;A hillside village near the ocean.;2;0;0
Santorini;A beautiful oceanside village in the mountains.;2;0;0
Taekwondo;Competitors in a martial arts competition fighting it out.;2;1;0
Moai;tourists walking around a field with giant head sculptures;2;0;1
Birds_Nest_Stadium;a woman, wearing a black jacket and pants, is standing in front of a beautiful stadium.;1;0;1
Birds_Nest_Stadium;a woman is standing in front of a stadium.;1;0;1
Birds_Nest_Stadium;a woman is standing in front of a huge stadium;1;0;1
Moai;tourists are having a great time on a field with huge head sculptures;2;0;1
Martin_Luther_King;Martin Luther King Jr. making a speech.;0;2;1
The_Grand_Place;a little girl in Chinatown.;2;0;1
Martin_Luther_King;Martin Luther King Jr., a black leader, is making addressing people.;0;2;1
Fall_Of_Berlin_Wall;People are walking around in a war camp.;0;1;1
Moai;tourists are walking around a tourist spot.;2;0;1
The_Grand_Place;a little girl stands in the middle of the road in Chinatown.;2;0;1
Fall_Of_Berlin_Wall;People are walking around in a war camp.;0;1;1
Fall_Of_Berlin_Wall;People are walking free in a war camp.;0;1;1
Martin_Luther_King;Martin Luther King Jr., a black leader, is making addressing the people.;0;2;1
The_Grand_Place;A little girl stands in the middle of Chinatown.;2;0;1
Fall_Of_Berlin_Wall;There so many people in the meeting;2;0;0
Birds_Nest_Stadium;A girl pose for a photo;2;0;0
Moai;There are so many people walking on the road.;0;0;0
Fall_Of_Berlin_Wall;People are waiting for someone.;2;0;0
Birds_Nest_Stadium;A lady gives a pose for a photo.;2;0;0
The_Grand_Place;A festival is going well in the village.;2;0;0
The_Grand_Place;A festival was made by a country people.;2;0;0
Fall_Of_Berlin_Wall;The group of people was shouting.;2;0;0
Martin_Luther_King;A great men is speaking to the audience.;2;0;0
The_Grand_Place;A festival was going very proud and joy.;2;0;0
Martin_Luther_King;A leader is speaking about something to the audience.;2;0;0
Martin_Luther_King;A great person showing his speech well.;2;0;0
Moai;There are group person coming for a vacation.;0;0;0
Birds_Nest_Stadium;A lady wearing a black color pant and overcoat.;2;0;0
Moai;A group of people coming for a vacation.;0;0;0
The_Grand_Place;This is a Temple of the Emerald Buddha.;0;1;0
Martin_Luther_King;He is a Martin luther king.;1;2;0
Moai;It is a most popular tourists place Easter Island.;0;1;0
Martin_Luther_King;He is a Martin luther king.;1;2;0
Birds_Nest_Stadium;A lady is infront of National Stadium.;0;2;0
Birds_Nest_Stadium;A lady is infront of National stadium.;0;2;0
Moai;It is a most popular tourists place Easter Island.;0;1;0
Martin_Luther_King;He is a Martin luther.;1;2;0
The_Grand_Place;It is a Temple of the Emerald Buddha.;0;1;0
Fall_Of_Berlin_Wall;Many peoples are in Fall of the Berlin Wall.;0;1;0
Fall_Of_Berlin_Wall;Many peoples are in Fall of the Berlin Wall.;0;1;0
Moai;It is a most popular tourists place Easter Island.;0;1;0
The_Grand_Place;It is a Temple of the Emerald Buddha.;0;1;0
Birds_Nest_Stadium;A lady is infront of National Stadium.;0;2;0
Fall_Of_Berlin_Wall;Many peoples are in Fall of the Berlin Wall.;0;1;0
Dragon_Boat_Festival;Three different groups of people are on there boats diving on the sea in a diving competition.;1;1;0
Empire_State_Building;skyscrapers in a city well structured beside water.;0;2;0
Lake_Hillier;nature view of a sea,pink... and land from the satellite.;0;2;0
Dragon_Boat_Festival;competition of boat diving between different groups .;1;1;0
Lake_Hillier;nature view of a sea and land from the satellite.;0;2;0
Dragon_Boat_Festival;group of people in a diving competition;1;1;0
Avril_Lavigne;A beutiful young singer on stage.;2;1;0
Lake_Hillier;nature view of land and the sea from the satellite;0;2;0
Avril_Lavigne;a beautiful singer on stage;2;1;0
Avril_Lavigne;a beautiful singer on stage;2;1;0
Empire_State_Building;a beautiful big city with skyscrapers in it.;0;2;0
Wiz_Khalifa;a tattoo man smooking;3;2;0
Wiz_Khalifa;a man puff out smoke from the mouth;3;2;0
Wiz_Khalifa;a tattoo man puff out smoke from the mouth.;3;2;0
Empire_State_Building;a beautiful city with skyscrapers,blue sky,sun set and blue sea;0;2;0
Avril_Lavigne;Woman singing in a concert.;2;0;0
Empire_State_Building;Picture of a big city;2;0;0
Wiz_Khalifa;Man produces smoke after smoking;2;0;0
Empire_State_Building;Full view of a big city;2;0;0
Dragon_Boat_Festival;people participating in a boat competition.;2;0;0
Avril_Lavigne;Young girl singing in a live music on stage.;2;0;0
Dragon_Boat_Festival;People in a boat competition;2;0;0
Avril_Lavigne;Girl singing in a music concert.;2;0;0
Lake_Hillier;View of pink pond from areoplane.;2;0;0
Dragon_Boat_Festival;Boat competition in which people are participating;2;0;0
Lake_Hillier;Pink pond taken in eagle view.;2;0;0
Empire_State_Building;picture of a beautiful town;2;0;0
Wiz_Khalifa;man smoking by closing his eyes.;2;0;0
Lake_Hillier;Pink pond near ocean view from top.;2;0;0
Wiz_Khalifa;Man smoking without any stress.;2;0;0
Lake_Hillier;It is an area with clear blue water that goes for miles. There is a pink area in the middle of lush greenery;2;0;1
Empire_State_Building;This is the empire state building and it shows it surrounded by other buildings in New York;1;2;1
Lake_Hillier;Clear blue oceans and lush greenery surrounding a pink body of water;2;0;1
Wiz_Khalifa;It is Wiz Khalifa at the Grammy Awards. He is smoking a joint and blowing the smoke out.;1;2;1
Dragon_Boat_Festival;It shows a bunch of rowers that are running in a race. There are many rowers and 4 boats;2;1;1
Avril_Lavigne;Avril Levigne is singing on stage at a concert.;0;2;1
Wiz_Khalifa;Wiz Khalifa smoking weed and blowing out puffs of smoke at a Grammy Award event;1;2;1
Lake_Hillier;Blue clear waters surrounding a pinl lake. Green grass all around;2;0;1
Empire_State_Building;Large buildings in New York surrounding the Empire State Building;1;2;1
Dragon_Boat_Festival;Rowers in a race on the water.;2;1;1
Wiz_Khalifa;Wiz Khalifa an artist at a Grammy Party blowing out smoke from a blunt;1;2;1
Dragon_Boat_Festival;A rowing race that involves many rowers and boats;2;1;1
Empire_State_Building;Large buildings in New York City;1;2;1
Avril_Lavigne;A singer Avril Levigne performing on stage at a concert;0;2;1
Avril_Lavigne;A singer performing in concert. The singer is Avril Levigne from Canada;0;2;1
Empire_State_Building;It is a tall building in newyork.;0;1;0
Wiz_Khalifa;He is  Wiz Khalifa photo. In this photo he is smoking.;2;2;0
Wiz_Khalifa;He is Wiz Khalifa. In this photo he is smoking.;2;2;0
Empire_State_Building;It is a tall building in new york.;0;1;0
Lake_Hillier;it is a lake hillier.;1;2;0
Empire_State_Building;it is a tall building in new york;0;1;0
Avril_Lavigne;A woman is standing infront of the stage and singing.;2;0;0
Dragon_Boat_Festival;This picture shows dragon boat festival.;2;1;0
Lake_Hillier;it is a lake killier.;1;2;0
Avril_Lavigne;some women is singing.;2;0;0
Avril_Lavigne;A woman is singing infront of the stage.;2;0;0
Lake_Hillier;It is a lake killier.;1;2;0
Wiz_Khalifa;he is Wiz Khalifa. This picture show he is smoking.;2;2;0
Dragon_Boat_Festival;This picture shows a dragon boat festival.;2;1;0
Dragon_Boat_Festival;This is a dragon boat festival.;2;1;0
Avril_Lavigne;The girl in the black shirt is holding a microphone and singing into it.;0;2;1
Lake_Hillier;It is an areal image of a sandy shore line with really bright blue water, and green landscape.;2;0;1
Dragon_Boat_Festival;Many people are in long boats shaped like dragons holding oars and paddling through water in a race.;2;1;1
Dragon_Boat_Festival;Many people holding oars in boats shaped like dragons are paddling through the water in a race.;2;1;1
Avril_Lavigne;A girl in a black shirt is singing into a microphone.;0;2;1
Wiz_Khalifa;An African American man with tattoos on his neck and long hair is blowing out smoke.;2;0;1
Wiz_Khalifa;An African American man with tattoos on his neck and long black hair is blowing out smoke.;2;0;1
Lake_Hillier;An areal picture of a shoreline with white sandy beaches and beautiful clear blue water.;2;0;1
Empire_State_Building;A city skyline photo of many tall buildings surrounding the Empire State Building.;0;1;1
Empire_State_Building;A city skyline picture of many tall buildings surrounding the Empire State Building.;0;1;1
